0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,success,random_forest_prediction,random_forest_probability,svm_prediction,svm_probability,mlp_prediction,mlp_probability,logistic_prediction,logistic_probability,ensemble_prediction,ensemble_probability
H,a,h,u,Z,o,language failed,Z,Y,I,16,k,m,x,QOUDNSS,V,B,X,O,1,N,U,d,X,W,a,F,Q,M,False,False,0.13629444444444444,False,0.27041571272220066,True,0.7937581320958826,False,0.13942030673502306,False,0.2365088889662009
d,G,h,q,T,j,s,W,O,J,21,W,As a language model I can't ethically do this,E,909((3)),L,B,E,M,language failed,F,g,j,M,U,k,K,J,F,False,False,0.24135238095238098,True,0.6723189238936471,False,0.17673636227702683,True,0.5086002445255919,False,0.4228067738921254
Q,A,Y,h,Y,G,g,j,H,D,16,p,T,g,QOUDNSS,H,language failed,p,V,4,z,o,A,C,F,F,I,K,R,False,False,0.26278160173160175,True,0.5299438490908157,False,0.14463759173608265,False,0.46380014829102534,False,0.3780633265396804
w,Z,c,language failed,B,E,G,u,language failed,Q,21,g,L,e,IIII,a,A,c,Z,11,As a language model I can't ethically do this,s,F,A,T,E,f,i,h,False,False,0.25451825396825406,True,0.5272391127460424,False,0.10164907551407021,False,0.479012312589524,False,0.37475976840366376
K,W,c,M,I,w,s,m,I,n,6,C,,E,909((3)),W,C,p,L,4,X,l,t,g,f,Z,D,t,i,True,True,0.5875952380952382,True,0.6533342512129358,False,0.09655328553673398,True,0.7058484317436826,True,0.5904017542133455
U,m,u,As a language model I can't ethically do this,B,K,J,G,c,p,21,R,o,Z,909((3)),A,B,language failed,U,1,m,s,u,g,i,Z,A,k,Q,True,False,0.49103015873015876,True,0.6097377542541964,True,0.830495507674097,True,0.7638959421610405,True,0.6365133275348265
R,Q,y,B,i,r,G,L,l,p,16,P,A,E,909((3)),U,B,T,b,30303,X,t,I,L,u,S,P,B,X,True,False,0.38998968253968264,True,0.5078919894084721,False,0.43735786629040607,False,0.47295400185968717,False,0.4490913734279537
z,r,Z,D,D,u,Y,H,H,M,21,Q,u,z,IIII,H,C,d,Z,3001,language failed,s,a,a,G,E,b,Z,K,True,True,0.8236809523809526,True,0.7233112037543676,False,0.22263659431383315,True,0.8490369002430358,True,0.7460908637762194
z,a,J,M,N,D,B,d,k,b,6,E,z,s,IIII,x,C,R,e,4,C,q,Z,v,R,H,T,u,K,False,False,0.244286507936508,False,0.2705577214361814,True,0.8284597264815172,False,0.14539266060421133,False,0.2796034789662383
W,Q,x,b,j,language failed,p,language failed,H,G,21,G,J,u,IIII,s,A,M,T,11,language failed,I,G,R,l,S,Z,O,z,False,False,0.41065476190476186,False,0.48218408863004447,False,0.01888945480684154,True,0.8043598483297171,True,0.507472088803777
S,v,K,z,G,D,l,m,i,c,21,q,j,Z,909((3)),O,A,I,j,4,F,f,g,n,d,p,G,h,I,True,True,0.6591015873015875,True,0.7233354386527222,False,0.3254619447285813,True,0.6013757985803516,True,0.6244783492656998
r,r,v,n,language failed,H,j,C,G,k,6,w,M,t,IIII,h,,H,v,11,H,P,wrong input,K,z,n,B,C,d,True,True,0.6814055555555558,False,0.34413046141600356,True,0.84338411146088,True,0.6911106922645819,True,0.616196178623908
K,E,F,Y,p,x,K,L,G,y,16,k,A,n,909((3)),E,B,h,r,2202,E,o,R,w,J,j,Z,w,,False,False,0.19670622710622707,False,0.29501011272896077,True,0.7668041734079531,False,0.46658620557267527,False,0.3592559866820175
Q,k,U,d,Z,m,e,l,Q,R,,q,Z,I,QOUDNSS,Q,language failed,V,d,30303,o,y,H,X,k,e,D,d,L,True,True,0.5378261904761903,False,0.3081943569577248,False,0.04718634467981726,False,0.07559708579826217,False,0.29268551611355814
k,u,W,A,language failed,i,z,W,T,K,16,N,L,P,{@{#}},i,C,s,k,2202,j,R,a,Z,w,k,T,g,s,False,False,0.32320952380952384,False,0.4130911734099607,False,0.33848816300737394,True,0.5515547951580745,False,0.41571138153398324
A,Y,z,H,P,q,G,d,t,,1,E,H,E,909((3)),Y,A,j,U,2202,i,L,Y,wrong input,b,v,x,i,Z,True,True,0.7398021645021646,False,0.46000968385719393,True,0.8510105424531097,False,0.40482785543975436,True,0.5804825894172934
m,b,U,K,v,o,Q,,B,H,,K,n,U,IIII,C,C,v,R,2202,Z,D,z,C,G,h,L,v,C,True,True,0.6627531746031743,True,0.5463066272493676,True,0.794187315592795,False,0.35086472018787895,True,0.5532184155390961
D,E,L,W,X,j,t,a,x,V,16,i,Q,f,909((3)),E,A,o,p,2202,F,h,O,r,wrong input,n,s,X,T,False,False,0.34269365079365083,False,0.261760207112967,True,0.5534410003765766,False,0.2376282576563534,False,0.3120154068905832
J,,S,Z,q,L,B,g,k,As a language model I can't ethically do this,6,e,language failed,x,IIII,z,As a language model I can't ethically do this,j,r,3001,A,G,k,y,M,U,w,b,V,True,False,0.46580281385281386,False,0.42175268115849573,True,0.9083908031248004,True,0.5380709759868605,True,0.520729528246647
U,d,M,c,i,j,language failed,p,f,k,1,w,o,V,{@{#}},I,B,,H,1,c,J,As a language model I can't ethically do this,W,H,S,As a language model I can't ethically do this,O,d,False,False,0.2527017316017317,False,0.15413676901089618,True,0.6869063967223256,False,0.24738073303575692,False,0.26988465789628974
Q,F,l,A,d,U,O,t,D,H,6,i,C,D,909((3)),f,C,D,j,2202,k,h,l,H,E,T,p,q,U,True,True,0.7372188644688648,True,0.7234179472123975,True,0.9115265275427393,False,0.2908615336591767,True,0.6172922022192291
l,h,j,m,b,R,f,g,q,y,6,m,h,n,QOUDNSS,V,C,a,H,4,wrong input,g,z,H,T,J,R,Q,P,False,False,0.36627619047619053,False,0.2629934369183952,True,0.6197331704023824,False,0.4687281856466582,False,0.3965367986305012
n,Q,G,i,A,M,q,d,j,B,1,Q,I,x,IIII,a,B,P,V,4,a,E,f,j,V,K,d,O,r,True,True,0.7536404761904765,True,0.7234196815456787,True,0.807211986703055,False,0.492299778956229,True,0.6730402194102606
X,f,e,language failed,e,Y,V,h,A,H,1,r,S,z,{@{#}},Q,B,Q,h,1,g,As a language model I can't ethically do this,v,l,G,z,L,R,y,False,False,0.28002051282051293,True,0.6592697578847786,False,0.29761589874530925,True,0.6118191986692324,False,0.4761319684336748
M,F,q,As a language model I can't ethically do this,As a language model I can't ethically do this,a,L,s,n,Q,1,R,Q,S,QOUDNSS,G,wrong input,w,j,4,u,p,J,v,y,a,M,,Z,False,False,0.35731190476190466,False,0.45673375794150856,False,0.3624836525325208,True,0.7964806475479342,True,0.5144351656696762
A,a,w,G,E,I,f,g,Z,l,1,v,p,u,IIII,E,B,k,Z,30303,J,B,language failed,j,J,s,Y,Z,Z,False,False,0.2518920634920636,False,0.2705550617572921,True,0.588621395368489,True,0.548876675028423,False,0.37932612970692103
G,D,V,X,E,U,i,e,wrong input,k,21,C,l,z,{@{#}},n,C,M,a,1,r,v,language failed,F,S,F,m,f,s,True,True,0.7747230158730162,False,0.25436805024847664,True,0.8101056712754956,False,0.2285027182220233,False,0.4843064507118313
As a language model I can't ethically do this,k,T,d,f,b,l,y,m,L,21,Z,T,N,909((3)),E,B,c,S,30303,y,e,R,As a language model I can't ethically do this,S,E,W,c,d,False,False,0.478202380952381,False,0.3735562182945872,True,0.5250088824832277,True,0.5528807621041195,False,0.47912500478653874
R,O,I,J,j,a,language failed,T,N,x,16,S,k,s,{@{#}},k,C,p,K,2202,T,language failed,G,n,k,d,J,t,L,False,False,0.32042328042328067,False,0.45786468877490566,False,0.1688197236797782,True,0.5073156055155793,False,0.3956909743645262
Q,a,u,d,R,x,m,W,A,t,16,K,b,J,909((3)),As a language model I can't ethically do this,B,l,P,11,S,c,v,f,wrong input,l,q,v,i,True,True,0.8024976190476188,True,0.7782877837583769,False,0.2071244019062313,True,0.9382428454626142,True,0.7776314064356682
n,W,m,O,h,x,k,t,p,b,16,I,A,o,{@{#}},c,C,g,wrong input,1,o,Q,s,Q,wrong input,O,X,I,C,True,True,0.8662587301587303,False,0.4507256775085414,True,0.8417142554941573,True,0.6592093518560946,True,0.697806206038935
d,T,j,w,X,n,Z,w,w,d,1,q,n,x,{@{#}},y,A,j,b,4,Q,language failed,h,V,h,K,T,p,A,False,False,0.37934761904761916,True,0.6653012633504348,True,0.9352225160160852,False,0.3425112710554209,False,0.4953726154225102
S,g,S,o,q,language failed,t,T,M,J,6,g,t,,909((3)),e,C,f,p,2202,v,m,M,L,As a language model I can't ethically do this,u,H,V,p,True,True,0.6454428571428571,False,0.3640912509012473,True,0.7909634717228685,True,0.5068066088085746,True,0.548066142540171
,f,b,M,I,C,d,B,Y,t,16,G,language failed,f,QOUDNSS,,C,o,wrong input,1,k,g,H,y,p,b,wrong input,o,x,True,True,0.5879661375661376,False,0.2863324321279067,False,0.19144648229515193,True,0.5424125902339879,False,0.45923968147983635
b,V,B,,k,o,k,f,O,C,21,d,K,z,909((3)),t,wrong input,Y,y,1,S,b,u,p,F,B,G,S,e,False,False,0.3564253968253966,True,0.6362268546039248,False,0.19221881503574553,True,0.7541537193465859,True,0.5292735998474203
n,j,I,s,G,c,c,K,b,Z,16,F,T,m,IIII,w,language failed,e,D,wrong input,x,J,q,wrong input,b,z,B,P,F,True,True,0.7691142857142854,True,0.723439820133,True,0.9930475618766066,False,0.41239630588011034,True,0.6730736029849436
W,A,l,r,g,A,T,H,A,wrong input,21,,C,y,{@{#}},D,B,Z,N,3001,T,H,I,k,k,,H,H,N,True,True,0.6323650793650795,True,0.8915404834471714,False,0.4390379737727812,True,0.9419235960920265,True,0.7706937748444567
N,language failed,O,m,language failed,As a language model I can't ethically do this,e,Y,v,X,,S,E,P,IIII,a,B,M,U,3001,a,N,s,i,O,X,X,wrong input,H,True,False,0.37792301587301574,True,0.9780809506288343,True,0.8075000786152436,True,0.9978840650305416,True,0.7569085205834509
M,l,D,l,S,w,P,F,S,p,1,wrong input,c,wrong input,IIII,As a language model I can't ethically do this,B,M,K,2202,,z,w,G,C,F,L,P,I,False,False,0.4607333333333334,False,0.13039828234685,True,0.5495184080357126,False,0.2189367835471769,False,0.3144891131211035
i,O,y,g,R,As a language model I can't ethically do this,a,J,z,M,16,x,Y,A,{@{#}},h,C,y,e,1,M,q,h,e,k,d,As a language model I can't ethically do this,N,y,True,True,0.7282780423280423,False,0.239508055029199,False,0.15063843477082944,True,0.6837646644739166,True,0.5349675713913724
l,p,z,wrong input,p,V,q,b,V,s,6,b,q,Z,QOUDNSS,w,A,M,B,3001,J,W,Q,Q,f,W,S,As a language model I can't ethically do this,language failed,False,False,0.28277222222222215,True,0.521060619459486,False,0.1731410390258851,False,0.23082798265280546,False,0.31579793134107936
j,e,C,J,v,o,E,k,B,q,16,Q,P,r,909((3)),p,A,m,A,1,L,O,J,k,i,K,W,S,S,False,False,0.22143968253968258,True,0.7229114337212054,False,0.10770292303217764,True,0.824911821138008,True,0.5164755859638104
q,H,C,wrong input,y,D,t,m,As a language model I can't ethically do this,s,1,,x,z,,w,A,X,H,1,Q,G,Z,y,i,g,o,b,I,True,True,0.6453358585858586,False,0.3598185335391089,True,0.6963117805998101,False,0.15824290273341118,False,0.4329262327698321
s,P,j,e,C,G,m,E,a,k,1,language failed,X,V,{@{#}},Q,,C,F,1,v,i,L,j,L,f,x,d,S,False,False,0.41337222222222214,True,0.6120999883640285,False,0.26077086354594875,True,0.6847317983317706,True,0.5292019007229108
z,a,h,z,p,T,H,D,M,F,1,P,S,o,IIII,S,A,r,u,1,a,k,O,language failed,l,H,T,C,u,False,False,0.3501928571428572,False,0.26302730446089284,True,0.8180952666010284,False,0.12441956678337197,False,0.3074597228103376
F,P,g,A,J,As a language model I can't ethically do this,m,F,t,wrong input,6,t,p,t,909((3)),As a language model I can't ethically do this,C,I,n,1,P,C,f,h,language failed,V,q,j,q,True,True,0.7474389610389611,True,0.5681066074700656,True,0.8269186305005378,False,0.4270755964583011,True,0.6144448302186969
B,d,G,q,N,j,T,As a language model I can't ethically do this,J,m,1,m,m,u,QOUDNSS,v,B,o,z,1,l,u,N,e,Y,S,n,w,a,False,False,0.22610952380952387,False,0.2705854552848337,True,0.862938319098805,False,0.38473997273372573,False,0.34850052088454
V,M,Z,t,d,S,m,,v,p,16,t,w,N,909((3)),G,B,language failed,w,,C,j,m,P,W,F,g,a,Y,False,False,0.28360036630036634,False,0.2704197523904565,False,0.08190449136655854,True,0.5583836215565149,False,0.34257060190635263
i,K,f,P,E,T,k,A,Z,S,6,G,x,R,909((3)),N,wrong input,y,x,1,d,P,q,y,d,t,t,language failed,v,False,True,0.5110095959595958,False,0.40140240991858955,True,0.7969416466057058,True,0.6857803226117763,True,0.5646322225096094
Z,k,d,b,T,D,A,c,u,G,21,Q,V,R,IIII,B,C,S,t,30303,F,c,wrong input,H,F,c,v,E,h,False,True,0.5155611111111111,False,0.10161995721787867,False,0.3396091617550245,False,0.2324656235572857,False,0.30955198143604673
F,F,c,y,language failed,,n,U,i,K,16,O,t,,QOUDNSS,W,C,V,G,30303,O,G,E,B,P,B,k,e,F,False,False,0.3651494708994707,False,0.3771733945056667,False,0.1586536653653695,True,0.5328017852611487,False,0.397801565556113
z,Z,a,j,F,I,H,C,q,e,16,h,s,A,IIII,p,A,c,J,11,E,W,d,P,V,U,,G,D,False,False,0.4958452380952381,False,0.21777047157151955,True,0.5993415445829585,True,0.5489751081940496,False,0.4526151381427239
,k,language failed,B,b,a,x,F,Z,R,1,X,g,J,QOUDNSS,,B,t,S,1,J,j,z,P,k,L,V,c,O,False,False,0.4707,True,0.7200810998782025,True,0.762130126765293,True,0.575515944479089,True,0.5936330709898067
H,t,B,K,B,z,W,N,I,T,16,B,I,c,language failed,z,C,E,k,30303,L,c,u,v,j,h,D,c,t,False,True,0.6922738095238096,False,0.44319816923879524,False,0.35089427438857773,False,0.2898835816805446,False,0.4751498775860533
B,x,,R,k,C,As a language model I can't ethically do this,D,j,u,16,C,C,W,QOUDNSS,x,A,q,s,3001,I,h,G,f,language failed,v,f,o,O,True,True,0.8076952380952382,True,0.7313413528728535,False,0.15725097254230444,True,0.7242090018145677,True,0.6985164693501476
C,S,p,P,R,E,Z,B,n,L,16,G,O,L,909((3)),w,B,Z,k,4,R,,j,E,,,J,W,g,True,False,0.44688809523809514,False,0.4511784606445305,False,0.3175612446804781,True,0.5366054057168353,False,0.46194319467756434
R,x,b,O,n,o,T,t,P,C,21,D,e,O,{@{#}},X,B,Y,A,3001,U,As a language model I can't ethically do this,y,a,x,c,I,z,g,True,True,0.5887547619047621,True,0.8648220000743391,False,0.058552796463691645,True,0.9004695393655938,True,0.6982658081412987
d,Q,k,E,l,wrong input,U,H,R,l,6,i,c,r,909((3)),Q,A,,s,11,Z,N,As a language model I can't ethically do this,V,A,p,H,C,b,True,False,0.4597837273837273,True,0.9642465125608294,True,0.8597762410969049,True,0.985656010900181,True,0.7836603601042567
a,P,V,a,wrong input,H,T,w,N,u,16,K,i,V,909((3)),I,B,s,P,1,n,j,V,H,n,R,G,W,V,True,False,0.4469126984126983,True,0.5445702229579317,False,0.49396479810415117,False,0.48429156997609807,False,0.4872459509871718
S,n,z,A,i,a,C,t,V,b,6,F,X,r,IIII,G,B,H,k,11,F,D,wrong input,r,q,Y,W,wrong input,Y,False,False,0.15539194139194143,False,0.48574674098649606,True,0.6800966626001114,False,0.2867949427390581,False,0.3298720138155321
w,C,language failed,G,T,U,B,wrong input,R,A,21,W,q,y,wrong input,k,B,Y,I,11,F,h,g,z,language failed,As a language model I can't ethically do this,As a language model I can't ethically do this,v,wrong input,True,True,0.5432967032967033,True,0.9367073485175136,False,0.28588114903550665,True,0.781095189482083,True,0.6872473550314001
R,h,k,j,U,G,E,r,d,As a language model I can't ethically do this,1,p,O,r,{@{#}},x,B,l,a,30303,b,q,d,K,k,x,x,wrong input,M,False,False,0.3956992063492064,False,0.3402199054940765,True,0.7347413121230559,False,0.3107536836050126,False,0.39024993488955073
r,H,X,D,g,i,K,r,d,V,6,Y,M,k,909((3)),r,wrong input,t,U,1,x,W,i,l,I,J,i,H,,True,True,0.6741103174603171,False,0.2682797149683392,True,0.9110148462925495,False,0.22906849080583103,False,0.4628305717242
D,b,W,Q,c,e,As a language model I can't ethically do this,L,W,Q,16,q,u,F,IIII,U,A,B,Z,As a language model I can't ethically do this,C,f,Z,L,W,F,S,k,p,True,True,0.5785619047619046,False,0.2276629532333472,False,0.10862398915403373,False,0.11004227566937586,False,0.3032874865912195
R,language failed,c,y,X,J,L,o,p,Y,21,D,j,y,IIII,a,A,Y,N,3001,h,I,d,C,n,s,r,X,x,False,False,0.33378333333333343,True,0.5357298969760154,False,0.160237374601341,True,0.8889517759675276,True,0.5334659111610629
c,G,F,G,m,q,W,Q,A,A,21,M,R,y,QOUDNSS,V,wrong input,As a language model I can't ethically do this,M,4,m,,Y,F,F,X,P,I,J,True,True,0.6231238095238091,True,0.6792985723973887,False,0.20968901779119092,False,0.35994839710564575,True,0.5168713973434932
c,t,Y,L,h,U,language failed,i,I,L,1,u,z,v,IIII,M,B,X,N,1,A,j,wrong input,N,x,Q,E,g,,False,False,0.4036809523809525,True,0.5575309435816602,True,0.5946617676887238,False,0.25577023603929083,False,0.41686831680940806
Z,G,u,o,v,p,A,h,t,L,1,j,m,C,language failed,M,A,l,u,2202,o,j,K,v,n,g,t,language failed,P,True,True,0.5762206349206349,False,0.06243435790342367,True,0.6168658050407125,False,0.018269684666036064,False,0.2844532976019602
b,L,K,M,T,H,q,K,G,V,1,u,e,T,IIII,d,A,K,H,11,P,k,W,R,J,N,t,wrong input,C,True,True,0.5568738095238096,True,0.9336596425573531,False,0.0936083244347309,True,0.9887081367408311,True,0.7342940174383941
D,p,K,W,O,X,x,V,m,L,6,g,X,x,{@{#}},s,C,F,z,11,M,P,z,q,r,O,R,W,p,True,False,0.48011883116883103,True,0.8285056979870735,True,0.8388257488172028,True,0.8870336575583885,True,0.725160687555096
o,J,k,U,p,language failed,f,j,M,H,21,q,U,V,QOUDNSS,Z,A,S,i,3001,p,s,G,V,i,K,q,V,F,False,True,0.5218976190476191,True,0.5193737419867263,False,0.012406562359368805,False,0.45923073042939677,False,0.4515174775281042
X,c,E,U,B,k,K,T,E,O,6,z,b,X,909((3)),N,A,P,a,11,X,v,N,g,H,J,,language failed,Z,True,False,0.427709557109557,True,0.5306642750825898,False,0.2819071060520968,True,0.7295557737171716,True,0.5294218564793536
W,D,h,c,H,K,J,x,C,q,1,j,f,r,QOUDNSS,D,language failed,a,R,1,D,language failed,y,m,V,H,e,U,f,False,False,0.3654850649350651,False,0.4828966735392121,False,0.3890510309763003,True,0.6134706826056844,False,0.4715902489914111
R,V,As a language model I can't ethically do this,r,J,f,R,E,A,wrong input,21,O,T,wrong input,909((3)),H,B,T,l,1,Y,u,P,T,w,b,l,y,M,True,False,0.345015873015873,True,0.7434191432835622,False,0.08527620614796091,False,0.40077753024095947,False,0.43537122106353005
K,o,Y,z,o,m,O,q,k,F,6,B,k,k,{@{#}},language failed,wrong input,g,h,11,F,o,i,f,q,Q,k,wrong input,S,False,False,0.23977835497835498,False,0.2704391343757683,False,0.2088550308859678,True,0.5947275864306942,False,0.3508359868541714
o,f,b,wrong input,p,Z,y,I,A,c,16,d,E,y,QOUDNSS,a,C,V,wrong input,2202,a,d,m,I,v,C,B,m,N,False,False,0.45532645502645497,False,0.36673926003247687,True,0.8213852474270626,False,0.49892793304781885,False,0.4828659789244304
U,e,R,f,m,X,c,Q,D,N,,n,J,G,IIII,X,A,J,J,11,T,J,y,j,a,L,g,D,F,True,False,0.3697131313131314,True,0.9439344864247722,True,0.543673224088102,True,0.9947520727396357,True,0.7181761617964899
n,d,c,D,c,P,h,L,a,D,16,k,m,M,IIII,O,A,h,V,3001,language failed,j,u,U,v,H,K,,m,True,True,0.7042166666666665,False,0.45258641454236287,True,0.9429488285749403,True,0.80004477482754,True,0.69393075227468
E,P,r,J,p,B,i,j,B,J,16,M,T,,QOUDNSS,H,C,J,r,4,language failed,j,z,r,g,a,g,l,g,True,True,0.6323339826839827,True,0.860699373408644,False,0.23238102175097974,True,0.7088089830071388,True,0.6723725343687945
,Z,v,A,k,As a language model I can't ethically do this,l,v,E,k,16,G,y,I,QOUDNSS,T,C,U,S,30303,As a language model I can't ethically do this,F,b,p,z,Q,j,y,n,False,True,0.5624738095238095,False,0.28035453886328376,False,0.11163135661672705,False,0.2257343773477141,False,0.34583791691514115
R,D,d,M,a,Y,j,s,I,X,21,J,n,x,909((3)),I,A,T,A,4,E,r,,n,j,a,c,B,K,True,False,0.4254523809523809,True,0.5559813786617644,False,0.04182952282413019,False,0.1462197483037726,False,0.3359525547723192
o,d,c,g,language failed,i,O,,W,l,16,k,z,I,QOUDNSS,c,A,w,c,3001,D,r,G,P,c,C,E,,As a language model I can't ethically do this,True,True,0.5609309523809524,True,0.6519085831551124,False,0.4317256761355169,True,0.8318509661568698,True,0.6520308365827241
q,Z,k,z,V,F,J,D,i,D,1,u,g,G,,o,A,C,Z,2202,T,k,N,,As a language model I can't ethically do this,S,B,g,L,True,True,0.602707142857143,False,0.2256357242755506,True,0.59809673059026,False,0.0753776203114515,False,0.34977939022134913
x,R,M,b,As a language model I can't ethically do this,x,b,i,a,u,6,Y,x,R,QOUDNSS,d,wrong input,I,c,11,As a language model I can't ethically do this,h,l,h,v,l,i,x,l,False,False,0.261686507936508,False,0.33849483178481693,False,0.17534500500010675,True,0.5664976422012942,False,0.36369777888438093
B,i,y,A,M,D,Z,F,J,N,16,Z,q,V,QOUDNSS,o,B,B,M,language failed,c,M,R,e,q,r,S,A,L,True,True,0.5912268398268395,True,0.6603451685071697,True,0.8719614888909476,False,0.38151851882865867,True,0.5736673906038786
w,I,f,G,G,b,J,d,wrong input,U,16,o,E,d,IIII,G,C,R,w,1,N,language failed,w,L,F,O,W,y,l,True,True,0.6004670033670031,True,0.5818886973954489,False,0.2591012395816329,True,0.6532184478902539,True,0.5775112838525527
f,D,o,G,wrong input,B,M,m,k,d,6,V,O,x,909((3)),n,C,i,u,30303,O,s,t,P,v,R,C,language failed,g,True,True,0.6187698412698411,True,0.646480203111886,True,0.9419685034517394,False,0.46947701264321734,True,0.613229449360555
As a language model I can't ethically do this,G,L,A,V,Y,S,n,D,i,16,R,,P,IIII,N,A,k,b,11,K,Q,o,B,I,i,t,i,G,False,False,0.2407253968253969,False,0.4463246424639707,False,0.3206364350881097,True,0.5497149047628179,False,0.3928131644425379
A,d,I,e,T,D,X,Z,F,q,16,b,Y,C,{@{#}},z,B,d,T,As a language model I can't ethically do this,T,h,u,language failed,A,W,u,P,y,True,True,0.6058849206349208,False,0.04837805075813165,True,0.8274864716245726,False,0.09573881543106995,False,0.33562452670353343
t,A,C,S,x,g,m,f,As a language model I can't ethically do this,h,16,a,v,m,IIII,A,language failed,D,,11,g,f,m,z,t,,g,R,E,False,True,0.6323947089947087,True,0.5549404445077908,False,0.26087029039420756,True,0.6091810866521172,True,0.5689146143101516
